Event title,Event type
"The Biggest Bluff – How to Pay Attention, Take Control and Master the Odds",Webinars
The Girls in Tech Conference,"Seminars,Talks"
Machine Learning using Python,Webinars
Computer Vision Model Training Made Easy!,"Trainings,Courses"
Cybersecurity Innovation Day 2020 Live Webcast,Webinars
BuzzConf 2020,"Seminars,Talks"
The Future of Math Education,Webinars
NZ XR – Virtual and Augmented Reality Report Launch,Webinars
Science Speed Dating: Micro Science Talks,"Talks,Seminars"
Virtual Toronto Tech Summit 2020,"Seminars,Expos,Talks"
2020 Virtual State of the Atlanta Black Tech Ecosystem #TechDoneRight,Webinars
Full Day Workshop Kubeflow + BERT + GPU + TensorFlow + Keras + SageMaker,Workshops
"Modeling COVID-19 Pandemic: Resources, Methodology and Applications",Webinars
Cybersecurity: The Blockchain Use Case,Webinars
The Role of Data in Transforming Geotechnical Engineering: COGGE Series,"Seminars,Courses"
Android Stream Day - Season 1,Webinars
Mars 2020 Perseverance Online Launch Participation,Webinars
Mobilizing Capital in the New Economy,Webinars
Curso Ciencia de Datos 360 con Python {Presentación},Webinars
Microsoft Planner Basics: Manage Tasks and Projects Effectively,Webinars
ProductCon Online: The Product Management Conference,"Seminars,Talks"
The Black Is Tech Virtual Conference 2020,"Seminars,Talks"
ProductCon Online: The Product Management Conference,"Seminars,Talks"
Attracting Small Birds to Your Garden,Webinars
Imperial Lates Online: Back to Nature,Webinars
How To Unlock Your Brains Potential - Online Webinar,Webinars
THRIVE Demo Day 20,Webinars
GraphQL Summit Worldwide,"Seminars,Expos,Talks"
How the Universe Ends | Katie Mack,Webinars
NUS-ISS Learning Festival 2020,Fests
Black Excellence In Tech: Panel | Online,Webinars
DEFCON Red Team Village CTF Qualifiers,Webinars
"Measuring Earths Gravity, across ACT",Webinars
BEST Simulink Summer Workshop Online Series,"Workshops,Webinars"
The Hawaii Variable: A data-based discussion about COVID-19 in Hawaii,discuss
Optimización de decisiones y desplegando ciencia de datos en Producción,Webinars
Medical Cannabis Speaker & Investor Pitch Competition,"Competitions,Hackathons"
Advanced PowerBI (Virtual) - August 11,Webinars
Bridging Healthcare Disparities Through Data and Technology,Webinars
The Science of Sin,Webinars
Made In Singapore: Building Singapore’s Digital Future Online Event,Webinars
"WebinarKubeflow, TensorFlow, TFX, PyTorch, GPU, Spark ML, AmazonSageMaker",Webinars
"apidays LIVE SINGAPORE -   APIs, Ecosystems and Finance-as-a-Service",Webinars
Praxical Science Workshops,Workshops
Intro to Machine Learning,Webinars
Arson Terror: When Extremists Use Fire as a Weapon,Webinars
Enhancing Federal Clean Energy Innovation,Webinars
WEBINAR Intro to Python: Part 1,Webinars
WEBINAR JavaScript 101,Webinars
WEBINAR Intro to Python: Part 2,Webinars
Microsoft  Power App in a Day (Virtual) - August 4,Webinars
Canal digital inteligente,Webinars
2020 Mars Society International Teleconvention,Internships
Urban platypuses: threats and challenges,Webinars
Workshop on Sustaining Ocean Observations,Workshops
NINR Methodologies Boot Camp: Artificial Intelligence,"Trainings,Workshops"
WMD Threats to American Citizens & Infrastructure,Webinars
MLOps: Ray in the Real World,Webinars
Week 1 Black Girls Code: Microsoft Small Basic {{BEGINNER}},Webinars
"Wild Ones Heather Holm, presents the Bombus Among Us - Bumble Bee Basics",Webinars
PyData LA 2020,Webinars
Microsoft Power BI - Dashboard in a Day (Virtual) - August 18,Webinars
From Papyrus to the Web:  Why Books are More Important than Ever,Webinars
Intro to Computer Vision Part 2: Object Detection WEBINAR,Webinars
The secrets of Anti-Matter,Webinars
St. Louis LC101 September Info Session,Webinars
ME AND YOUTUBE: SURPRISING BENEFITS OF MAKING SCIENCE AND MATH VIDEOS,Webinars
DoE and National Labs CYBERSECURITY TECHNOLOGIES VIRTUAL SHOWCASE,Webinars
"Society, Robots and Us",Webinars
Nunca pares de enseñar aprendiendo,Webinars
Vectorworks Workflow Seminar:  Patching Lighting Fixtures -   Free for a li...,Seminars
The Incel Threat: Mindset Behind the Mass Shootings,Webinars
TOWN HALL: Advancing STEM Equity Through Research-Based Education Practices,Webinars
FTL Remote Speaker Night - Quantum Computing,Webinars
How to Break into Tech: Learn to code through Pursuit,Webinars
Virtual Info Session Thinking About a Tech Career? Start Here.,"Expos,Jobs"
*HubSpot Webinar* Info Session : What is the HubSpot Coding Challenge?,Webinars
Interpretable Machine Learning for Enterprise Applications,Webinars
Anti-Semitism: Behind the Escalating Domestic Threat,Webinars
Why (and how) the UK should be powered primarily by offshore wind in 2030,Webinars
Noches Tecnológicas edición Julio,Webinars
z/OS Introduction and Workshop for IT Professionals,Workshops
apidays LIVE AUSTRALIA - Building Business Ecosystems,Webinars
Fireside Chat: A Digital First Approach to COVID-19,Webinars
The Prep & the Pivot - responding to a pandemic as a clinician scientist,Webinars
Supporting People with Vision Impairments in Automated Vehicles Webinar,Webinars
Science Public Online Talks,"Talks,Seminars"
Vectorworks Spotlight Essentials Seminar - Free for a limited time!!!,Seminars
Sony STEAM Week (Virtual),Webinars
"Black Girls Code: Create Digital Art with Fresh Paint, Ages 13+",Webinars
Data Privacy in the Age of COVID-19,Webinars
Live Animals:  Luminous Colors - #Livestream,Webinars
oVirt 2020 online conference,"Seminars,Talks"
High School Summer Seminars with Berkeley Lab,Seminars
Geneskool Summer Science Program for Teens,Webinars
Thinkful Webinar | Intro to HTML & CSS: Build Your Own Website,Webinars
ProductCon Online: The Product Management Conference,"Seminars,Talks"
Genome Lates:  A special Human Genome Project Anniversary season,Webinars
Online Robotics Job Fair,"Jobs,Expos,Fests,Internships"
WEBINAR JavaScript 201,Webinars
alwaysCoding- Weekly Hacky Hour,Webinars
Business Opps and Collabs between Corporates and Scientist-Entrepreneurs,Webinars
"Bridging the Distance: Learning, Analytics, & COVID-19",Webinars
HackVenture Online Hackathon,"Hackathons,Competitions"
Building Resilience at Scale with Digital Healthcare Tools,Webinars
Teen Science Night 2020,Webinars
"Health Apps, Privacy and Cybersecurity panel discussion (webinar)",discuss
Offshore software development: Project Management using Backlog,Webinars
Thinkful Webinar | Intro to Data Analytics: SQL Fundamentals,Webinars
Thinkful Webinar | Data Analytics: Diving Into SQL Joins,Webinars
UCL CBT Monthly Online Seminars,Seminars
Sustainable Oceans Conference,"Seminars,Talks"
2020 Santa Cruz Biotech Startups,Webinars
Virtual Café Scientifique | Manipulating the Microbiome - Food Allergy,Webinars
Thinkful Webinar | Intro to JavaScript: Build a Virtual Pet,Webinars
FREE! TeenTechSF Summer Workshop Series,"Workshops,Webinars"
Global XR Bootcamp 2020,"Trainings,Workshops"
Linaro Virtual Connect 2020,Webinars
EntrepreneuHER Makeathon,"Hackathons,Competitions"
Getting Started in Cybersecurity,Webinars
Intermediate R Studio: Data Visualization,Webinars
WEBINAR JavaScript 301,Webinars
WEBINAR JavaScript 401,Webinars
Founders Live Seattle - Virtual Experience,Webinars
Vectorworks Hidden Treasures Seminar -   Free for a limited time!!!,Seminars
Cómo lanzar un Emprendimiento,Webinars
"FREE, live & online SCIENCE session with Sylvan",Webinars
Introduction to R Workshop,Workshops
Game Development through PyGame for Kids and Teens ( 8-18 years ),Webinars
Thinkful Webinar | Intro to Data Science: Python Fundamentals,Webinars
WEBINAR Learn To Code: Recursion in JavaScript,Webinars
Thinkful Webinar || Free Crash Course: JavaScript Fundamentals,Courses
Webinar: Low-Dose Copper for Zebra Mussel Suppresion,Webinars
Water Innovation Connect Series: Planning for Albertas Water Future,"Seminars,Courses"
Australian Prawn Farmers Association RD&E Webinar,Webinars
SCS-NY: Industrialized Construction,Webinars
The Jeremiah Horrocks Lecture  - The search for new worlds in our Galaxy,Webinars
Women in Networking Hour (Virtual),Webinars
SF Bay Area Joint IEEE-GRSS Chapter Webinar Series,"Seminars,Courses"
Online Teacher Training: Explore Scratch and AI in the classroom,"Trainings,Courses"
Python: Intro to Data Visualization with Matplotlib – 2 Day workshop,Workshops
Python: Scikit-learn –3 Day Workshop,Workshops
Python: Biopython,Webinars
Virtual Planetarium: Exploring Space - #livestream,Webinars
Codeup Virtual Developer Day - Apex Class,Webinars
R: Shiny,Webinars
Project Code: Virtual Orientation and Information Session,Webinars
The Language of Genetics & Genomics: Interpreter training session,"Trainings,Courses"
Minnesota Microsoft 365 User Group - August 2020,Webinars
WEBINAR Intro to Functional JavaScript,Webinars
Evaluating Critical Mineral Commodity Supply Chains,Webinars
WEBINAR Intro to Computer Science,Webinars
STEM the Vote: Science Policy Panel Series,"Seminars,Courses"
UX Design for Managers and Team Leads: How to Delight your Users,Webinars
How to tell great Instagram Stories,Webinars
CLIMATE PODS,Webinars
Cybersecurity Forward,Webinars
Small Business Funding Opportunities from the National Cancer Institute,Webinars
Identity Server Demystified - Code It Up Online Vol. 5,Webinars
Thinkful Webinar | Intro To Data Analytics: Excel Basics,Webinars
Science is a Drag!,Webinars
Introduction to Azure Databricks Online,Webinars
Hemophilia Gene Therapy- Preparing for Clinical Practice,Webinars
Getting started with PCSE Online,Webinars
Selfless Hackers: COVID-19 2-Day Hackathon,"Hackathons,Competitions"
Vectorworks Getting Started Online Seminar-   Free for a limited time!!!,Seminars
Texas Tech Coding Academy | Learn to Code Workshop | 8.5.2020 {REMOTE},Workshops
apidays LIVE HONG KONG - The Open API Economy - Finance-as-a-Service & API ...,Webinars
Cyber Tech & Risk - DevSecOps,Webinars
Austin Coding Academy | VIRTUAL Learn to Code Workshop,Workshops
Empathy is Not Enough: How to Take Action Towards Inclusion in Design,Webinars
DevSecOpsDays - Melbourne,Webinars
Thinkful Webinar | Data Science Fundamentals: The Pandas Library,Webinars
Earthworm Biology,Webinars
Thinkful Speaker Series || Student Success Story: Anthony Zhao,"Seminars,Courses"
"72 Hour LIVE Global Blockchain Conference - V2.0, Reimagine 2020","Seminars,Talks"
Collaborate2Cure: Autism Spectrum Disorders,Webinars
RESCHEDULED - Getting Started in Recirculating Aquaculture Systems (RAS),Webinars
WARP AI 1.0 - Virtual Conference,"Seminars,Talks"
2020 Verizon Data Breach Investigations BCS Cybercrime Forensics,Webinars
Meetup Online  - Quedate en Casa,Webinars
AI Talks in Healthcare,"Talks,Seminars"
Vectorworks Architect Essentials Seminar - Free for a limited time!!!,Seminars
Galvanize Remote Part-time Data Science Information Session,Webinars
Nearsoft Talks: Design as a part of a Business Strategy,"Talks,Seminars"
"*Virtual Event* QB3 Seminar: Ray Deshaies, Amgen",Seminars
"SaaS Expert Series: ""Building a Platform for Long Term Growth""","Seminars,Courses"
Society going viral! Hidden psychology of pandemics across time and context,Webinars
"Building, Funding,  and Growing Successful Biotech Startups",Webinars
Tech Talent Toronto Virtual Job Fair,"Jobs,Expos,Fests,Internships"
Virtual Synthetic Chemistry Seminar Program (Australia - 2020),Seminars
Explainable AI in Finance Online Event,Webinars
Mining Midwest Biotech Treasures: Part IV,Webinars
Virtual Spoken Word Event,Webinars
"Virtual SoCRA Phoenix/Valley of the Sun Chapter Mtg: Aug 27, 2020",Webinars
Webinar: Microsoft Azure Governance,Webinars
apidays LIVE JAKARTA - Building the API Stack,Webinars
UX Design Info Session,Webinars
Capital Area IT Council - Software Development Peer Group Event,Webinars
Webinar: Javascript 101,Webinars
2020 Livestock Advisor Update ,Webinars
Virtual Lunch & Learn: Valuation of Life Science Companies,Webinars
Cyber Tech & Risk - DevSecOps,Webinars
Braceworks Essentials Seminar -   Free for a limited time!!!,Seminars
"Data Science in the News- Going for Gold: Data, data science & elite sports",Webinars
Beyond the Future of Work,Webinars
The New Economics and Efficiencies of Gene Therapy,Webinars
Get Connected: Web tools for graphic design,Webinars
Discuss Design Systems,discuss
NAHSE Atlantas 3rd Annual HOT TOPICS EVENT,Webinars
Talk: Our Election Security - How Bad Is It?,Webinars
Wild Plants of London,Webinars
The YBP Virtual Tech Summit: Powered by Salesforce,"Seminars,Expos,Talks"
"LJC Virtual Meetup: Functional Programming in Java, Groovy, and Kotlin",Webinars
Webinar: Physics of Failure vs Standards Based Qualification,Webinars
Selfless Hackers: COVID-19 2-Day Hackathon,"Hackathons,Competitions"
Collaborate2Cure: Autism Spectrum Disorders,Webinars
NextDor Devs Lightning Talks,"Talks,Seminars"
INFO SESSION: Code Like a Girls Online Courses,Courses
A Closer Look at.... Parkinsons Disease,Webinars
TexTalks: Global Energy Trends and Transition featuring Michael Webber,"Talks,Seminars"
Vectorworks Workflow Seminar - Reflected Ceiling Plans: -   Free for a limi...,Seminars
Braceworks Essentials Seminar -   Free for a limited time!!!,Seminars
Modeling the Sources and the Topics of Pliny’s Natural History,Webinars
Night Sky TONIGHT,Webinars
Online Data Science Ethics Book Club #11 - Data and Social Change Movements,Webinars
Landscape Resilience Lessons from the Facebook Bayfront Campus,"Trainings,Workshops"
"Ferment TV | 09. Technology, Power & the People",Webinars
MD-Washington Regional Movement Disorders Video Meeting: Summer 2020,Webinars
MyXR.Social - Virtual Event Series,"Seminars,Courses"
2020 Livestock Advisor Update ,Webinars
Virtual Lunch & Learn: Valuation of Life Science Companies,Webinars
Victorias Diadromous Fish and the Effects of River Flow on Migration,Webinars
Discuss Design Systems,discuss
"Data Science in the News- Going for Gold: Data, data science & elite sports",Webinars
Beyond the Future of Work,Webinars
Talk: Our Election Security - How Bad Is It?,Webinars
The New Economics and Efficiencies of Gene Therapy,Webinars
ODSC West 2020 Virtual  Career Expo || Open Data Science Conference,"Courses,Expos"
Webinar: Physics of Failure vs Standards Based Qualification,Webinars
Get Connected: Web tools for graphic design,Webinars
NAHSE Atlantas 3rd Annual HOT TOPICS EVENT,Webinars
The YBP Virtual Tech Summit: Powered by Salesforce,"Seminars,Expos,Talks"
"LJC Virtual Meetup: Functional Programming in Java, Groovy, and Kotlin",Webinars
NextDor Devs Lightning Talks,"Talks,Seminars"
Project Sharing Essentials -   Free for a limited time!!!,Webinars
INFO SESSION: Code Like a Girls Online Courses,Courses
"Prof. West on Wants, needs, habits? How motivation drives our behaviour",Webinars
A Closer Look at.... Parkinsons Disease,Webinars
Webinar Power Your Digital Transformation for Government,Webinars
Supply Chain Data Analytics Workshop,Workshops
Building Empathy through Virtual Reality with Wesley Della Volla,Webinars
Thinkful Webinar | Data Science: Tools Of The Trade,Webinars
Entrepreneur First London Virtual Open Office,Webinars
Passing the ISO 9001 Audit in the 2020s,Webinars
Lunch N’Discuss: Where Managed Services Meets DevOps,discuss
Fast Radio Bursts – An Evolving Cosmic Mystery,Webinars
Cisco Meraki Public Sector Webinar Series,"Seminars,Courses"
"Seafood Supply Chains, Food Security, & Coalition Building Webinar",Webinars
Tech Talent Vancouver Virtual Job Fair,"Jobs,Expos,Fests,Internships"
Thinkful Webinar | Learn Web Development With Thinkful,Webinars
Virtual Flatiron School AMA with the Chicago Team: Panel | Chicago,Webinars
GlycoNet Workshop: A workshop for scientific writers (August 5),Workshops
Android Weekly Series Part 4,"Seminars,Courses"
FREE Virtual Microsoft Summer Camp for Children Ages 6+,"Trainings,Workshops"
Python: Text Analysis with NLTK,Webinars
Intro to R pt. 1: Working with R and RStudio,Webinars
Startup Boost Vancouver Launch Event,Webinars
Introduction to R - Part 2,Webinars
Science on Tap: Maskerade,Webinars
Predicting Human Health Effects from Environmental Exposures,Webinars
Real World Applications of OLED Technology Online Event,Webinars
Webinar: Global Electric Power Sector: Engaging with Environmental Issues,Webinars
Lessons from a Pandemic: Solutions for Addressing the Climate Change Crisis,Webinars
Virtual Inspire in 5,Webinars
Who were the Neanderthals?,Webinars
The End of the Universe,Webinars
Center Stage Seminar Series,Seminars
Mars University Summit 2020,"Seminars,Expos,Talks"
Virtual Curious Kids: What on Earth?  Earth Science,Webinars
Cloud Ascent Webinar,Webinars
Applied AI: From Academia to Industry Online Event,Webinars
NPower 2020 Summer Kick Off: Jumpstart Your Career In IT From Home!,"Expos,Jobs"
Thinkful Webinar || What is UX/UI Design?,Webinars
How to Run a Remote Design Sprint,Webinars
This Too Shall Pass: Creativity in the Time of COVID-19,Webinars
The Hustle Awards,Webinars
"""Whats in a brand?""",Webinars
Operationalizing AI in Health Virtual Speaker Series - Session III,"Seminars,Courses"
Hands-On UX Workshop: Redesign a Grocery Website in 2 Hours,Workshops
Make It Happen,Webinars
AI for Everyone (26 September 2020),Webinars
Asteroid Bennu Science Cafe,Webinars
Learn Python Online Free - Python Fundamentals Live,Webinars
Brandwood CKC Virtual-Innovation Accelerator (Webinar July 29),Webinars
DataWomen and data friends - Thriving in Data,Webinars
Seattle Women in Tech Regatta 2020,Webinars
Thinkful Webinar | Intro to UX/UI Design: User Research,Webinars
AAPS LBDDS Community_ July Webinar,Webinars
U.S. SBA International Technology Forum: Canada,Internships
Intro To Python Webinar,Webinars
Webinar Data Science Learning Path,Webinars
accuRx Webinar: Accessible Design and Digital Inclusion in Healthcare,Webinars
Central Valley Salmon: Reintroduction as a recovery tool.,Webinars
AEC Tech Academy (virtual),Webinars
Thinkful Webinar | Build a Web App with JavaScript & jQuery,Webinars
Intro to Data Science - Computer Vision: Workshop | Online,Workshops
Thinkful Speaker Series || Student Success Story: Allyson Short,"Seminars,Courses"
How MemSQL is helping Flatten the Curve?,Webinars
2020 Florida Data Science for Social Good - The Big Reveal,Webinars
WebinarAzure Fundamentals (AZ-900) Free Training,"Trainings,Courses"
Careers in Health Economics and Outcomes Research Virtual Seminar Series,"Seminars,Jobs"
SEAM Seminar Series,Seminars
#BlackInSTEM Panel @ UMass Amherst,Webinars
ReDI Munich: Student Info Session Aututmn Semester 2020 #2,Webinars
Thinkful Webinar | Intro to Data Science: The Art of Visualizations,Webinars
EAMT2020,Webinars
Thinkful Webinar | Intro to Data Science: Predictive Modeling,Webinars
Gambling Journal Club August 2020 Meeting,Webinars
Thinkful Webinar | What is UX/UI Design?,Webinars
Techweek2020 webinar: Will machines replace humans in the future of work?,Webinars
Mocha Mixer  - A Virtual Networking event for Blacks in Tech,Webinars
The Graduate College Lunch-n-Learn Series,"Seminars,Courses"
Save the Trees Please: Best Practices for Development Plan Review Process,Webinars
Online Info Session | LSU Cyber Bootcamp,"Trainings,Workshops"
New to Z Virtual Social Hours,Webinars
Intro to ArcGIS Online & Mapping COVID19,Webinars
LGBTQ+ in Tech Summit presented by Accenture,"Seminars,Expos,Talks"
Week 14:  Pivoting: Drones and Robotics,Webinars
ASBMB Education Symposium - Teaching Remotely: Sharing Practice,Webinars
The New Normal Virtual Series,"Seminars,Courses"
At Home with Inala - Blueprints of nature,Webinars
Pub-less quiz,Webinars
MONTHLY BUZZ | DIGITAL HEALTH 2.0: Founder Stories,Webinars
Women in STEAM,Webinars
Wikipedia Edit-a-thon,Webinars
AMA: The Evolution of Events: 2020 & Beyond,Webinars
Agile Coach Camp Worldwide Home Edition,"Trainings,Workshops"
